1.755: [GC 1.755: [DefNew: 959K->64K(960K), 0.0030272 secs] 68409K->68111K(524224K), 0.0031027 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.759: [GC 1.759: [DefNew: 960K->64K(960K), 0.0026932 secs] 69007K->68722K(524224K), 0.0027669 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.764: [GC 1.764: [DefNew: 960K->63K(960K), 0.0033135 secs] 69618K->69370K(524224K), 0.0034020 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.769: [GC 1.769: [DefNew: 959K->63K(960K), 0.0027697 secs] 70267K->70010K(524224K), 0.0028280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.774: [GC 1.774: [DefNew: 959K->63K(960K), 0.0033837 secs] 70907K->70591K(524224K), 0.0034444 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.779: [GC 1.779: [DefNew: 959K->64K(960K), 0.0027760 secs] 71488K->71225K(524224K), 0.0028347 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.784: [GC 1.784: [DefNew: 960K->63K(960K), 0.0031181 secs] 72122K->71875K(524224K), 0.0031783 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.789: [GC 1.789: [DefNew: 959K->64K(960K), 0.0028198 secs] 72771K->72496K(524224K), 0.0028785 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
1.793: [GC 1.793: [DefNew: 960K->64K(960K), 0.0028053 secs] 73392K->73101K(524224K), 0.0028742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.798: [GC 1.798: [DefNew: 960K->64K(960K), 0.0029054 secs] 73997K->73723K(524224K), 0.0029598 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.802: [GC 1.802: [DefNew: 960K->63K(960K), 0.0027981 secs] 74619K->74345K(524224K), 0.0028588 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.807: [GC 1.807: [DefNew: 959K->64K(960K), 0.0035728 secs] 75242K->74998K(524224K), 0.0036330 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.813: [GC 1.813: [DefNew: 960K->63K(960K), 0.0030936 secs] 75895K->75692K(524224K), 0.0031614 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.818: [GC 1.818: [DefNew: 959K->63K(960K), 0.0029853 secs] 76588K->76358K(524224K), 0.0030416 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.823: [GC 1.823: [DefNew: 959K->63K(960K), 0.0031845 secs] 77254K->77000K(524224K), 0.0032567 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.827: [GC 1.827: [DefNew: 959K->64K(960K), 0.0028833 secs] 77897K->77628K(524224K), 0.0029507 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.832: [GC 1.832: [DefNew: 960K->63K(960K), 0.0029410 secs] 78524K->78262K(524224K), 0.0030209 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.836: [GC 1.836: [DefNew: 959K->63K(960K), 0.0028804 secs] 79159K->78892K(524224K), 0.0029516 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.843: [GC 1.843: [DefNew: 959K->64K(960K), 0.0029088 secs] 79789K->79546K(524224K), 0.0029877 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.847: [GC 1.847: [DefNew: 960K->64K(960K), 0.0030835 secs] 80443K->80242K(524224K), 0.0031513 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.853: [GC 1.853: [DefNew: 960K->64K(960K), 0.0029704 secs] 81138K->80876K(524224K), 0.0030214 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.858: [GC 1.858: [DefNew: 960K->64K(960K), 0.0030127 secs] 81772K->81453K(524224K), 0.0030657 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.862: [GC 1.862: [DefNew: 960K->64K(960K), 0.0027746 secs] 82350K->82075K(524224K), 0.0028304 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.867: [GC 1.867: [DefNew: 960K->64K(960K), 0.0029160 secs] 82971K->82650K(524224K), 0.0029752 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
1.871: [GC 1.871: [DefNew: 960K->64K(960K), 0.0029988 secs] 83546K->83312K(524224K), 0.0030541 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.876: [GC 1.876: [DefNew: 960K->63K(960K), 0.0031003 secs] 84208K->83931K(524224K), 0.0031638 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.880: [GC 1.880: [DefNew: 959K->63K(960K), 0.0029704 secs] 84827K->84547K(524224K), 0.0030330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
